,Name,Desc,Framework Type,Related Platform / Languages,Added,Framework Provider,Asset Home Page (URL),Repository / Source Code,Version,Terms Of Service URL,Is the Framework Source Code Non-Proprietary ?,Type of License if Non-Proprietary,Device specific,Framework does not belong to a Company,Docs Home Page URL,Supported Request Formats,Supported Response Formats,Offers Hypermedia Support
0,The Lura Project," An extendable, simple and stateless high-performance API Gateway framework designed for both cloud-native and on-prem setups.",Framework,Go,"July 14, 2021",Linux Foundation,https://luraproject.org/,https://github.com/luraproject/lura,1.4.1,https://lfprojects.org/,Yes,"Apache License, Version 2.0",No,No,https://luraproject.org/docs/,"JSON, Text, URI Query String/CRUD, XML","Binary, HTML, JSON, RSS, XML",Yes
1,Hanami," The Hanami Ruby Framework is a minimal, extremely fast, and lightweight framework for HTTP APIs. Usage includes the well known Hanami routing syntax and a new block syntax. If a developer passes a Ruby block to the route definition, it will be evaluated when an incoming HTTP request matches that route.
hanami-api is simple, low risk, very performant way to try Hanami and build a Ruby stack. It's a mini framework to build HTTP APIs and microservices.",Framework,Ruby,"March 5, 2020",,https://hanamirb.org/blog/2020/02/26/introducing-hanami-api.html,,,,Yes,,No,No,,,,No
2,Laravel, The Laravel PHP Framework in version 7 has been released. New features include:,Framework,PHP,"March 5, 2020",Laravel,https://laravel.com/docs/7.x/releases,,7,,Yes,,No,No,https://laravel.com/docs/7.x/releases,URI Query String/CRUD,JSON,No
3,Spring Framework," Spring is a powerful open source, loosely coupled, light weight, java based application framework meant for reducing the complexity of developing enterprise level applications. This framework is also called as the ""framework of frameworks"" as spring provides support to various other important frameworks like JSF, Hibernate, Structs, EJB etc.",Framework,Java,"February 2, 2021",VMWare,https://www.interviewbit.com/spring-interview-questions/,https://spring.io/quickstart,,https://www.vmware.com/help/legal.html,No,,No,No,,,,No
4,Ravel Node.js Framework," The Ravel Node.js Framework assists in application development. It provides architecture, API documentation, deployment, and scaling as resources.",Framework,Node.js,"April 16, 2019",,http://raveljs.github.io/docs/latest/,https://github.com/raveljs/ravel,,,Yes,,No,No,,URI Query String/CRUD,JSON,No
5,Jose JavaScript Framework," Jose Framework means Javascript Object Signing and Encryption. With the API, developers can authenticate data between parties through OAuth models. Jason Web Token and Jason Web Encryption are available as authorization methods.",Framework,JavaScript,"March 26, 2019",,https://jose.readthedocs.io/en/latest/,,,,Yes,,No,No,,,,No
6,ComposerJS Framework," ComposerJS is a framework for building client and server RESTful application programming interfaces. It provides a way to build professional RESTful API services with enterprise features that easily extend to provide additional capability. This includes features such as; it is built on OpenAPI, provides global configuration, has a built in ORM layer and more. Composer projects start with an OpenAPI specification file and leverage JSON Web Tokens for user authentication.",Framework,JavaScript,"June 4, 2020",AcceleratXR,https://www.composerjs.io/about.html,https://www.composerjs.io/reference/server/index.html,0.0,,No,,No,No,https://www.composerjs.io/index.html,,,No
7,FastAPI Python Framework," The FastAPI Python Framework builds APIs. With the key features, developers could develop faster, reduce errors, receive editor support, minimize code duplication, use interactive documentation, and use JSON schemas.",Framework,Python,"May 7, 2019",,https://fastapi.tiangolo.com/,https://github.com/tiangolo/fastapi,,,Yes,,No,No,,,JSON,No
8,Kivy Python Framework," Kivy Python enables cross-platform OpenGL ES 2 functionalities in multi touch applications. The codebase allows for Windows, macOS, Linux, Android, and iOS integrations. Kivy offers more than 20 widgets, all highly extensible. Many parts are written in C using Cython, and tested with regression tests.",Framework,Python,"January 7, 2020",Kivy,https://github.com/kivy/kivy,,1.11.0,,Yes,,No,No,,Unspecified,Unspecified,No
9,Chancla.io Java Framework," Chancla.io - Hyper Agile API Development Platform
With Chancla.io, software developers may rapidly develop APIs that integrate with third-party services, such as, MongoDB (mLab.com), Redis (redislabs.com), and Amazon Aurora to name a few.
Software developers, of all skill levels, are amazed how effortlessly they are able to build and deploy APIs with Chancla.io.",Framework,"Groovy,Java,Linux","February 7, 2019",,https://www.chancla.io/,,,,Yes,,No,No,,URI Query String/CRUD,"JSON, JSON API, XML",No
